"","sample.1.50..size...10000..replace...T."
"1",8
"2",11
"3",15
"4",1
"5",38
"6",32
"7",49
"8",13
"9",28
"10",28
"11",33
"12",7
"13",19
"14",50
"15",50
"16",38
"17",40
"18",10
"19",1
"20",12
"21",43
"22",22
"23",26
"24",17
"25",2
"26",15
"27",11
"28",7
"29",25
"30",1
"31",22
"32",22
"33",37
"34",28
"35",24
"36",46
"37",30
"38",20
"39",17
"40",13
"41",24
"42",15
"43",46
"44",48
"45",38
"46",48
"47",42
"48",15
"49",37
"50",4
"51",48
"52",1
"53",30
"54",39
"55",26
"56",31
"57",44
"58",49
"59",3
"60",49
"61",9
"62",19
"63",27
"64",46
"65",19
"66",46
"67",37
"68",8
"69",35
"70",35
"71",23
"72",32
"73",20
"74",36
"75",36
"76",40
"77",28
"78",44
"79",38
"80",1
"81",22
"82",15
"83",24
"84",36
"85",36
"86",31
"87",47
"88",13
"89",47
"90",49
"91",35
"92",17
"93",16
"94",12
"95",45
"96",40
"97",48
"98",10
"99",29
"100",35
"101",39
"102",11
"103",18
"104",3
"105",39
"106",33
"107",26
"108",44
"109",20
"110",7
"111",21
"112",12
"113",2
"114",17
"115",22
"116",4
"117",25
"118",48
"119",5
"120",18
"121",31
"122",20
"123",47
"124",14
"125",34
"126",16
"127",43
"128",21
"129",13
"130",41
"131",36
"132",3
"133",6
"134",40
"135",31
"136",46
"137",2
"138",39
"139",26
"140",7
"141",44
"142",23
"143",14
"144",27
"145",16
"146",25
"147",20
"148",40
"149",41
"150",6
"151",36
"152",15
"153",25
"154",21
"155",19
"156",38
"157",47
"158",34
"159",33
"160",13
"161",27
"162",34
"163",46
"164",35
"165",36
"166",10
"167",16
"168",18
"169",33
"170",49
"171",50
"172",27
"173",24
"174",32
"175",18
"176",1
"177",36
"178",33
"179",11
"180",21
"181",45
"182",49
"183",13
"184",38
"185",6
"186",7
"187",29
"188",23
"189",40
"190",42
"191",35
"192",1
"193",18
"194",19
"195",12
"196",38
"197",20
"198",37
"199",37
"200",42
"201",4
"202",13
"203",26
"204",8
"205",43
"206",2
"207",25
"208",48
"209",31
