"","sample.20.200..size...10000..replace...T."
"1",74
"2",197
"3",69
"4",62
"5",39
"6",118
"7",158
"8",65
"9",69
"10",84
"11",195
"12",171
"13",57
"14",149
"15",158
"16",186
"17",88
"18",63
"19",61
"20",20
"21",182
"22",20
"23",142
"24",173
"25",39
"26",110
"27",170
"28",26
"29",76
"30",178
"31",109
"32",59
"33",63
"34",93
"35",196
"36",34
"37",64
"38",134
"39",24
"40",149
"41",109
"42",35
"43",174
"44",36
"45",50
"46",194
"47",20
"48",130
"49",86
"50",20
"51",85
"52",142
"53",109
"54",34
"55",120
"56",169
"57",64
"58",60
"59",68
"60",157
"61",139
"62",74
"63",69
"64",198
"65",124
"66",47
"67",175
"68",153
"69",66
"70",126
"71",24
"72",63
"73",72
"74",86
"75",189
"76",180
"77",123
"78",132
"79",199
"80",109
"81",56
"82",85
"83",95
"84",92
"85",183
"86",105
"87",75
"88",160
"89",102
"90",71
"91",56
"92",135
"93",134
"94",146
"95",183
"96",191
"97",73
"98",127
"99",193
"100",129
"101",73
"102",125
"103",163
"104",139
"105",78
"106",45
"107",67
"108",146
"109",126
"110",159
"111",22
"112",155
"113",94
"114",107
"115",176
"116",63
"117",61
"118",113
"119",118
"120",21
"121",94
"122",164
"123",71
"124",172
"125",65
"126",23
"127",132
"128",167
"129",129
"130",94
"131",184
"132",24
"133",140
"134",174
"135",61
"136",147
"137",197
"138",192
"139",175
"140",124
"141",169
"142",125
"143",94
"144",62
"145",130
"146",129
"147",70
"148",149
"149",46
"150",109
"151",172
"152",133
"153",183
"154",68
"155",144
"156",113
"157",105
"158",149
"159",90
"160",180
"161",112
"162",166
"163",195
"164",47
"165",196
"166",180
"167",75
"168",121
"169",163
"170",192
"171",148
"172",36
"173",65
"174",62
"175",149
"176",165
"177",147
"178",20
"179",195
"180",137
"181",167
"182",63
"183",123
"184",57
"185",122
"186",104
"187",147
"188",144
"189",39
"190",60
"191",174
"192",120
"193",131
"194",35
"195",44
"196",90
"197",39
"198",117
"199",94
"200",43
"201",175
"202",99
"203",195
"204",55
"205",196
"206",67
"207",124
"208",89
"209",163
"210",99
"211",150
"212",27
"213",195
"214",130
"215",141
"216",171
"217",146
"218",52
"219",39
"220",58
"221",101
"222",126
"223",189
"224",41
"225",41
"226",174
"227",158
"228",140
"229",177
"230",77
"231",100
"232",127
"233",48
"234",191
"235",144
"236",180
"237",54
"238",172
"239",175
"240",42
"241",188
"242",161
"243",121
"244",114
"245",197
"246",165
"247",160
"248",33
"249",128
"250",98
"251",158
"252",189
"253",130
"254",152
"255",118
"256",172
"257",55
"258",68
"259",128
"260",26
"261",179
"262",30
"263",184
"264",183
"265",164
"266",191
"267",165
"268",47
"269",138
"270",103
"271",28
"272",116
"273",161
"274",162
"275",90
