"","sample.20.200..size...100..replace...T."
"1",195
"2",76
"3",44
"4",184
"5",196
"6",30
"7",80
"8",129
"9",98
"10",113
"11",33
"12",60
"13",21
"14",151
"15",88
"16",38
"17",50
"18",106
"19",125
"20",20
"21",180
"22",70
"23",69
"24",108
"25",173
"26",145
"27",160
"28",80
"29",101
"30",80
"31",153
"32",196
"33",192
"34",118
"35",136
"36",33
"37",177
"38",102
"39",118
"40",101
"41",161
"42",102
"43",26
"44",86
"45",111
"46",129
"47",75
"48",45
"49",73
"50",56
"51",40
"52",169
"53",32
"54",26
"55",148
"56",171
"57",143
"58",98
"59",74
"60",67
"61",169
"62",29
"63",121
"64",177
"65",162
"66",20
"67",32
"68",193
"69",130
"70",118
"71",74
"72",114
"73",148
"74",141
"75",96
"76",175
"77",72
"78",163
"79",45
"80",179
"81",57
"82",166
"83",26
"84",89
"85",155
"86",123
"87",163
"88",96
"89",120
"90",152
"91",95
"92",136
"93",182
"94",50
"95",151
"96",88
"97",116
"98",148
"99",157
"100",176
